U Can't Touch This,MC Hammer,U Can't Touch This by MC Hammer
I'm Still Standing,Elton John,I'm Still Standing by Elton John
Hit Me With Your Best Shot,Pat Benatar,Hit Me With Your Best Shot by Pat Benatar
This Love,Maroon 5,This Love by Maroon 5
Dancing Queen,ABBA,Dancing Queen by ABBA
Mamma Mia,ABBA,Mamma Mia by ABBA
Waterloo,ABBA,Waterloo by ABBA
Body,"Loud Luxury, Brando","Body by Loud Luxury, Brando"
Millionaire,"Kelis, AndrÃ© 3000","Millionaire by Kelis, AndrÃ© 3000"
Signs,"Snoop Dogg, Charlie Wilson, Justin Timberlake","Signs by Snoop Dogg, Charlie Wilson, Justin Timberlake"
Day 'N' Nite - Crookers Remix,"Kid Cudi, Crookers","Day 'N' Nite - Crookers Remix by Kid Cudi, Crookers"
California Gurls,"Katy Perry, Snoop Dogg","California Gurls by Katy Perry, Snoop Dogg"
Fake Magic,"Peking Duk, AlunaGeorge, Aluna","Fake Magic by Peking Duk, AlunaGeorge, Aluna"
All Night (feat. Knox Fortune),"Chance the Rapper, Knox Fortune","All Night (feat. Knox Fortune) by Chance the Rapper, Knox Fortune"
Sexual,"NEIKED, Dyo","Sexual by NEIKED, Dyo"
Shake It,Metro Station,Shake It by Metro Station
Whatever You Like,T.I.,Whatever You Like by T.I.
Just the Way You Are,Milky,Just the Way You Are by Milky
You Sexy Thing - Radio Edit,T-Shirt,You Sexy Thing - Radio Edit by T-Shirt
Year 3000,Busted,Year 3000 by Busted
Shake It Off,Taylor Swift,Shake It Off by Taylor Swift
The Horses,Daryl Braithwaite,The Horses by Daryl Braithwaite
Sk8er Boi,Avril Lavigne,Sk8er Boi by Avril Lavigne
Strawberry Kisses 2017,"Nikki Webster, Sam Mac","Strawberry Kisses 2017 by Nikki Webster, Sam Mac"
Slice of Heaven,Dave Dobbyn,Slice of Heaven by Dave Dobbyn
September,"Earth\, Wind & Fire","September by Earth\, Wind & Fire"
Low (feat. T-Pain),"Flo Rida, T-Pain","Low (feat. T-Pain) by Flo Rida, T-Pain"
April Sun in Cuba,Dragon,April Sun in Cuba by Dragon
That Don't Impress Me Much,Shania Twain,That Don't Impress Me Much by Shania Twain
"You're The One That I Want - From ""Grease"" Original Motion Picture Soundtrack","John Travolta, Olivia Newton-John","You're The One That I Want - From ""Grease"" Original Motion Picture Soundtrack by John Travolta, Olivia Newton-John"
Greased Lightnin' - From â€œGreaseâ€ù Soundtrack,"John Travolta, Jeff Conaway","Greased Lightnin' - From â€œGreaseâ€ù Soundtrack by John Travolta, Jeff Conaway"
Breaking Free,"Troy, Gabriella, Disney","Breaking Free by Troy, Gabriella, Disney"
We're All In This Together,"High School Musical Cast, Disney","We're All In This Together by High School Musical Cast, Disney"
The Best of Both Worlds,Hannah Montana,The Best of Both Worlds by Hannah Montana
Since U Been Gone,Kelly Clarkson,Since U Been Gone by Kelly Clarkson
Leave (Get Out),JoJo,Leave (Get Out) by JoJo
Where Is The Love?,Black Eyed Peas,Where Is The Love? by Black Eyed Peas
My Humps,Black Eyed Peas,My Humps by Black Eyed Peas
Pump It,Black Eyed Peas,Pump It by Black Eyed Peas
...Baby One More Time,Britney Spears,...Baby One More Time by Britney Spears
Oops!...I Did It Again,Britney Spears,Oops!...I Did It Again by Britney Spears
Time of Our Lives,"Pitbull, Ne-Yo","Time of Our Lives by Pitbull, Ne-Yo"
Fireball (feat. John Ryan),"Pitbull, John Ryan","Fireball (feat. John Ryan) by Pitbull, John Ryan"
Shots,"LMFAO, Lil Jon","Shots by LMFAO, Lil Jon"
Drive,Shannon Noll,Drive by Shannon Noll
SeÃ±orita,Justin Timberlake,SeÃ±orita by Justin Timberlake
Promiscuous,"Nelly Furtado, Timbaland","Promiscuous by Nelly Furtado, Timbaland"
I'm Like A Bird,Nelly Furtado,I'm Like A Bird by Nelly Furtado
Maneater,Nelly Furtado,Maneater by Nelly Furtado
These Words,Natasha Bedingfield,These Words by Natasha Bedingfield
Get Ur Freak On,Missy Elliott,Get Ur Freak On by Missy Elliott
Work It,Missy Elliott,Work It by Missy Elliott
Dancing in the Moonlight,Toploader,Dancing in the Moonlight by Toploader
American Boy (feat. Kanye West),"Estelle, Kanye West","American Boy (feat. Kanye West) by Estelle, Kanye West"
Party In The U.S.A.,Miley Cyrus,Party In The U.S.A. by Miley Cyrus
Everywhere - 2017 Remaster,Fleetwood Mac,Everywhere - 2017 Remaster by Fleetwood Mac
Dance Wiv Me,"Dizzee Rascal, Calvin Harris, Chrom3","Dance Wiv Me by Dizzee Rascal, Calvin Harris, Chrom3"
I'm Coming Out,Diana Ross,I'm Coming Out by Diana Ross
Holiday,"Dizzee Rascal, Laidback Luke","Holiday by Dizzee Rascal, Laidback Luke"
Freaky Friday (feat. Chris Brown),"Lil Dicky, Chris Brown","Freaky Friday (feat. Chris Brown) by Lil Dicky, Chris Brown"
September,"Earth\, Wind & Fire","September by Earth\, Wind & Fire"
Ms. Jackson,Outkast,Ms. Jackson by Outkast
Remind Me to Forget,"Kygo, Miguel","Remind Me to Forget by Kygo, Miguel"
Wall To Wall,Chris Brown,Wall To Wall by Chris Brown
"Gotta Go My Own Way - From ""High School Musical 2""","Troy, Gabriella Montez","Gotta Go My Own Way - From ""High School Musical 2"" by Troy, Gabriella Montez"
All My Friends,"Snakehips, Tinashe, Chance the Rapper","All My Friends by Snakehips, Tinashe, Chance the Rapper"
Livin' It Up,"Ja Rule, Case","Livin' It Up by Ja Rule, Case"
Just Wanna Be With You,"High School Musical Cast, Zac Efron, Lucas Grabeel, Olesya Rulin, Vanessa Hudgens","Just Wanna Be With You by High School Musical Cast, Zac Efron, Lucas Grabeel, Olesya Rulin, Vanessa Hudgens"
Waterfalls,TLC,Waterfalls by TLC
Don't You (Forget About Me) - Remastered,Simple Minds,Don't You (Forget About Me) - Remastered by Simple Minds
Hey Ya! - Radio Mix / Club Mix,Outkast,Hey Ya! - Radio Mix / Club Mix by Outkast
Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & MÃ_a),"Pras, Ol' Dirty Bastard, MÃ_a","Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & MÃ_a) by Pras, Ol' Dirty Bastard, MÃ_a"
No Diggity,Chet Faker,No Diggity by Chet Faker
Whatta Man,"Salt-N-Pepa, En Vogue","Whatta Man by Salt-N-Pepa, En Vogue"
Trick Me,Kelis,Trick Me by Kelis
It Wasn't Me,"Shaggy, Rik Rok","It Wasn't Me by Shaggy, Rik Rok"
Hypnotize - 2014 Remaster,The Notorious B.I.G.,Hypnotize - 2014 Remaster by The Notorious B.I.G.
Ignition - Remix,R. Kelly,Ignition - Remix by R. Kelly
In Da Club,50 Cent,In Da Club by 50 Cent
"My Neck, My Back (Lick It)",Khia,"My Neck, My Back (Lick It) by Khia"
Gold Digger,"Kanye West, Jamie Foxx","Gold Digger by Kanye West, Jamie Foxx"
Milkshake,Kelis,Milkshake by Kelis
Pony,Ginuwine,Pony by Ginuwine
Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,"Jennifer Lopez, Jadakiss, Styles P","Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix by Jennifer Lopez, Jadakiss, Styles P"
Be Faithful,"Fatman Scoop, Crooklyn Clan","Be Faithful by Fatman Scoop, Crooklyn Clan"
Roses,Outkast,Roses by Outkast
One More Time,Daft Punk,One More Time by Daft Punk
Teenage Crime - Radio Edit,Adrian Lux,Teenage Crime - Radio Edit by Adrian Lux
Drop It Like It's Hot,"Snoop Dogg, Pharrell Williams","Drop It Like It's Hot by Snoop Dogg, Pharrell Williams"
London Bridge,Fergie,London Bridge by Fergie
Like A G6,"Far East Movement, The Cataracs, DEV","Like A G6 by Far East Movement, The Cataracs, DEV"
Cola,"CamelPhat, Elderbrook","Cola by CamelPhat, Elderbrook"
Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Wanz","Thrift Shop (feat. Wanz) by Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Wanz"
Jessie's Girl,Rick Springfield,Jessie's Girl by Rick Springfield
Stacy's Mom,Bowling For Soup,Stacy's Mom by Bowling For Soup
Cha Cha Slide,Mr. C,Cha Cha Slide by Mr. C
(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,(Your Love Keeps Lifting Me) Higher & Higher by Jackie Wilson
"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,"Signed, Sealed, Delivered (I'm Yours) by Stevie Wonder"
You Can't Hurry Love - 2016 Remaster,Phil Collins,You Can't Hurry Love - 2016 Remaster by Phil Collins
I Want You Back,The Jackson 5,I Want You Back by The Jackson 5
Gasolina,Daddy Yankee,Gasolina by Daddy Yankee
Get Busy,Sean Paul,Get Busy by Sean Paul
Lady (Hear Me Tonight),Modjo,Lady (Hear Me Tonight) by Modjo
This Girl - Kungs Vs. Cookin' On 3 Burners,"Kungs, Cookin' On 3 Burners","This Girl - Kungs Vs. Cookin' On 3 Burners by Kungs, Cookin' On 3 Burners"
Show Me Love (feat. Robin S.),"Steve Angello, Laidback Luke, Robin S","Show Me Love (feat. Robin S.) by Steve Angello, Laidback Luke, Robin S"
Formation,BeyoncÃ©,Formation by BeyoncÃ©
Mi Gente (feat. BeyoncÃ©),"J Balvin, Willy William, BeyoncÃ©","Mi Gente (feat. BeyoncÃ©) by J Balvin, Willy William, BeyoncÃ©"
Valerie (feat. Amy Winehouse) - Version Revisited,"Mark Ronson, Amy Winehouse","Valerie (feat. Amy Winehouse) - Version Revisited by Mark Ronson, Amy Winehouse"
Shooting Stars,Bag Raiders,Shooting Stars by Bag Raiders
Swalla (feat. Nicki Minaj & Ty Dolla $ign),"Jason Derulo, Nicki Minaj, Ty Dolla $ign","Swalla (feat. Nicki Minaj & Ty Dolla $ign) by Jason Derulo, Nicki Minaj, Ty Dolla $ign"
Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton","Can't Hold Us (feat. Ray Dalton) by Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton"
Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),"Kid Cudi, MGMT, Ratatat","Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit) by Kid Cudi, MGMT, Ratatat"
Pony,Ginuwine,Pony by Ginuwine
Party Up,DMX,Party Up by DMX
Jump Around,House Of Pain,Jump Around by House Of Pain
Can't Stop,Red Hot Chili Peppers,Can't Stop by Red Hot Chili Peppers
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack","Christina Aguilera, Lil' Kim, MÃ_a, P!nk","Lady Marmalade - From ""Moulin Rouge"" Soundtrack by Christina Aguilera, Lil' Kim, MÃ_a, P!nk"
It Wasn't Me,"Shaggy, Rik Rok","It Wasn't Me by Shaggy, Rik Rok"
Teenage Dirtbag,Wheatus,Teenage Dirtbag by Wheatus
Praise You - Radio Edit,Fatboy Slim,Praise You - Radio Edit by Fatboy Slim
Million Voices - Radio Edit,Otto Knows,Million Voices - Radio Edit by Otto Knows
Umbrella,"Rihanna, JAY-Z","Umbrella by Rihanna, JAY-Z"
The Way You Make Me Feel - 2012 Remaster,Michael Jackson,The Way You Make Me Feel - 2012 Remaster by Michael Jackson
Touch The Sky,"Kanye West, Lupe Fiasco","Touch The Sky by Kanye West, Lupe Fiasco"
Tribute,Tenacious D,Tribute by Tenacious D
Rock DJ - 2004 Mix,Robbie Williams,Rock DJ - 2004 Mix by Robbie Williams
Hot In Herre,Nelly,Hot In Herre by Nelly
Memories (feat. Kid Cudi),"David Guetta, Kid Cudi","Memories (feat. Kid Cudi) by David Guetta, Kid Cudi"
In My Mind,"Dynoro, Gigi D'Agostino","In My Mind by Dynoro, Gigi D'Agostino"
Let's Groove,"Earth\, Wind & Fire","Let's Groove by Earth\, Wind & Fire"
I See You Baby - Fatboy Slim Radio Edit,"Groove Armada, Gram'ma Funk","I See You Baby - Fatboy Slim Radio Edit by Groove Armada, Gram'ma Funk"
House Work,"Jax Jones, Mike Dunn, MNEK","House Work by Jax Jones, Mike Dunn, MNEK"
Move Your Feet,Junior Senior,Move Your Feet by Junior Senior
Heartbreaker,MSTRKRFT,Heartbreaker by MSTRKRFT
Bitch Better Have My Money,Rihanna,Bitch Better Have My Money by Rihanna
My Love,"Route 94, Jess Glynne","My Love by Route 94, Jess Glynne"
Wearing My Rolex - Radio Edit,Wiley,Wearing My Rolex - Radio Edit by Wiley
Lose Control (feat. Ciara & Fat Man Scoop),"Missy Elliott, Ciara, Fatman Scoop","Lose Control (feat. Ciara & Fat Man Scoop) by Missy Elliott, Ciara, Fatman Scoop"
Shake That,"Eminem, Nate Dogg","Shake That by Eminem, Nate Dogg"
Dirrty,"Christina Aguilera, Redman","Dirrty by Christina Aguilera, Redman"
Beautiful Soul,Jesse McCartney,Beautiful Soul by Jesse McCartney
Move on Up - Single Edit,Curtis Mayfield,Move on Up - Single Edit by Curtis Mayfield
Follow Me,Uncle Kracker,Follow Me by Uncle Kracker
Khe Sanh - 2011 Remastered,Cold Chisel,Khe Sanh - 2011 Remastered by Cold Chisel
All Star,Smash Mouth,All Star by Smash Mouth
Mr. Brightside,The Killers,Mr. Brightside by The Killers
What About Me,Shannon Noll,What About Me by Shannon Noll
You're the Voice,John Farnham,You're the Voice by John Farnham
Walking On Sunshine,Katrina & The Waves,Walking On Sunshine by Katrina & The Waves
Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want to Have Fun by Cyndi Lauper
Stayin' Alive,Bee Gees,Stayin' Alive by Bee Gees
Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell","Ain't No Mountain High Enough by Marvin Gaye, Tammi Terrell"
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean","Hips Don't Lie (feat. Wyclef Jean) by Shakira, Wyclef Jean"
Down Under,Men At Work,Down Under by Men At Work
S Club Party,S Club,S Club Party by S Club
All The Small Things,blink-182,All The Small Things by blink-182
I'm Gonna Be (500 Miles),The Proclaimers,I'm Gonna Be (500 Miles) by The Proclaimers
Don't Stop Movin',S Club,Don't Stop Movin' by S Club
American Pie,Don McLean,American Pie by Don McLean
Hakuna Matata,"Billy Eichner, Seth Rogen, JD McCrary, Childish Gambino","Hakuna Matata by Billy Eichner, Seth Rogen, JD McCrary, Childish Gambino"
Torn,Natalie Imbruglia,Torn by Natalie Imbruglia
Stick to the Status Quo,"High School Musical Cast, Disney","Stick to the Status Quo by High School Musical Cast, Disney"
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),"T-Pain, Yung Joc","Buy U a Drank (Shawty Snappin') (feat. Yung Joc) by T-Pain, Yung Joc"
Counting The Beat,The Swingers,Counting The Beat by The Swingers
Easy Lover,"Philip Bailey, Phil Collins","Easy Lover by Philip Bailey, Phil Collins"
Mystery Man,Hot Potato Band,Mystery Man by Hot Potato Band
Sweet Caroline,Neil Diamond,Sweet Caroline by Neil Diamond
"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,"December, 1963 (Oh What a Night!) by Frankie Valli & The Four Seasons"
Hollaback Girl,Gwen Stefani,Hollaback Girl by Gwen Stefani
(You Drive Me) Crazy,Britney Spears,(You Drive Me) Crazy by Britney Spears
The Salmon Dance,The Chemical Brothers,The Salmon Dance by The Chemical Brothers
That Don't Impress Me Much,Shania Twain,That Don't Impress Me Much by Shania Twain
Jack & Diane,John Mellencamp,Jack & Diane by John Mellencamp
Point of View - Radio Edit,DB Boulevard,Point of View - Radio Edit by DB Boulevard
That Don't Impress Me Much,Shania Twain,That Don't Impress Me Much by Shania Twain
The Impression That I Get,The Mighty Mighty Bosstones,The Impression That I Get by The Mighty Mighty Bosstones
Shake Your Groove Thing,Peaches & Herb,Shake Your Groove Thing by Peaches & Herb
Hey Baby,"DJ Ã–tzi, The Bellamy Brothers","Hey Baby by DJ Ã–tzi, The Bellamy Brothers"
The Fresh Prince of Bel-Air,DJ Jazzy Jeff & The Fresh Prince,The Fresh Prince of Bel-Air by DJ Jazzy Jeff & The Fresh Prince
Come On Eileen,Dexys Midnight Runners,Come On Eileen by Dexys Midnight Runners
Give It Up,KC & The Sunshine Band,Give It Up by KC & The Sunshine Band
SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland","SexyBack (feat. Timbaland) by Justin Timberlake, Timbaland"
Let's Get Loud,Jennifer Lopez,Let's Get Loud by Jennifer Lopez
This Is How We Do It,"Montell Jordan, Wino","This Is How We Do It by Montell Jordan, Wino"
Forever,Chris Brown,Forever by Chris Brown
Dreams - 2004 Remaster,Fleetwood Mac,Dreams - 2004 Remaster by Fleetwood Mac
Boyfriend,Justin Bieber,Boyfriend by Justin Bieber
Eenie Meenie,"Justin Bieber, Sean Kingston","Eenie Meenie by Justin Bieber, Sean Kingston"
U Smile,Justin Bieber,U Smile by Justin Bieber
Love Story,Taylor Swift,Love Story by Taylor Swift
You Belong With Me,Taylor Swift,You Belong With Me by Taylor Swift
Teach Me How to Dougie,Cali Swag District,Teach Me How to Dougie by Cali Swag District
The Anthem,Good Charlotte,The Anthem by Good Charlotte
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Gimme! Gimme! Gimme! (A Man After Midnight) by ABBA
Gimme More,Britney Spears,Gimme More by Britney Spears
Work Bitch,Britney Spears,Work Bitch by Britney Spears
Can't Get You out of My Head,Kylie Minogue,Can't Get You out of My Head by Kylie Minogue
Love at First Sight,Kylie Minogue,Love at First Sight by Kylie Minogue
On a Night like This,Kylie Minogue,On a Night like This by Kylie Minogue
Ice Ice Baby,Vanilla Ice,Ice Ice Baby by Vanilla Ice
Spice Up Your Life,Spice Girls,Spice Up Your Life by Spice Girls
U Can't Touch This,MC Hammer,U Can't Touch This by MC Hammer
"Whenever, Wherever",Shakira,"Whenever, Wherever by Shakira"
Who Do You Think You Are,Spice Girls,Who Do You Think You Are by Spice Girls
Pon de Replay,Rihanna,Pon de Replay by Rihanna
Celebration - Single Version,Kool & The Gang,Celebration - Single Version by Kool & The Gang
Jessie's Girl,Jessies Girl,Jessie's Girl by Jessies Girl
That Don't Impress Me Much - Dance Mix,Shania Twain,That Don't Impress Me Much - Dance Mix by Shania Twain
Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version by Christina Aguilera
SOS,Rihanna,SOS by Rihanna
Kiss Me Thru The Phone,"Soulja Boy, Sammie","Kiss Me Thru The Phone by Soulja Boy, Sammie"
Crank That (Soulja Boy),Soulja Boy,Crank That (Soulja Boy) by Soulja Boy
"Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg, Wiz Khalifa, Bruno Mars","Young, Wild & Free (feat. Bruno Mars) by Snoop Dogg, Wiz Khalifa, Bruno Mars"
Party In The U.S.A.,Miley Cyrus,Party In The U.S.A. by Miley Cyrus
Trumpets,Jason Derulo,Trumpets by Jason Derulo
TiK ToK,Kesha,TiK ToK by Kesha
Umbrella,"Rihanna, JAY-Z","Umbrella by Rihanna, JAY-Z"
Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Wanz","Thrift Shop (feat. Wanz) by Macklemore & Ryan Lewis, Wanz"
Bad Blood,Taylor Swift,Bad Blood by Taylor Swift
Firework,Katy Perry,Firework by Katy Perry
Call Me Maybe,Carly Rae Jepsen,Call Me Maybe by Carly Rae Jepsen
U Smile,Justin Bieber,U Smile by Justin Bieber
Pump It,Black Eyed Peas,Pump It by Black Eyed Peas
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean","Hips Don't Lie (feat. Wyclef Jean) by Shakira, Wyclef Jean"
Glamorous,"Fergie, Ludacris","Glamorous by Fergie, Ludacris"
Candy Shop,"50 Cent, Olivia","Candy Shop by 50 Cent, Olivia"
I Kissed A Girl,Katy Perry,I Kissed A Girl by Katy Perry
A Thousand Miles,Vanessa Carlton,A Thousand Miles by Vanessa Carlton
In Da Club,50 Cent,In Da Club by 50 Cent
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),"T-Pain, Yung Joc","Buy U a Drank (Shawty Snappin') (feat. Yung Joc) by T-Pain, Yung Joc"
Promiscuous,"Nelly Furtado, Timbaland","Promiscuous by Nelly Furtado, Timbaland"
Yeah! (feat. Lil Jon & Ludacris),"Usher, Lil Jon, Ludacris","Yeah! (feat. Lil Jon & Ludacris) by Usher, Lil Jon, Ludacris"
Don't Cha,"The Pussycat Dolls, Busta Rhymes","Don't Cha by The Pussycat Dolls, Busta Rhymes"
Fergalicious,"Fergie, will.i.am","Fergalicious by Fergie, will.i.am"
Hot In Herre,Nelly,Hot In Herre by Nelly
Pon de Replay,Rihanna,Pon de Replay by Rihanna
Ridin' Solo,Jason Derulo,Ridin' Solo by Jason Derulo
My Humps,Black Eyed Peas,My Humps by Black Eyed Peas
Kiss Kiss (feat. T-Pain),"Chris Brown, T-Pain","Kiss Kiss (feat. T-Pain) by Chris Brown, T-Pain"
Temperature,Sean Paul,Temperature by Sean Paul
I Want You Back,The Jackson 5,I Want You Back by The Jackson 5
Since U Been Gone,Kelly Clarkson,Since U Been Gone by Kelly Clarkson
7 Things - Single Version,Miley Cyrus,7 Things - Single Version by Miley Cyrus
Sexy Can I feat. Yung Berg,Ray J,Sexy Can I feat. Yung Berg by Ray J
Whatever You Like,T.I.,Whatever You Like by T.I.
Mr. Brightside,The Killers,Mr. Brightside by The Killers
